,情感分析结果,评价倾向,正文内容,标签
1,0.3857061003806418,负向,被舆论左右。毫无司法公正可言！,1
2,0.6560706946662702,正向,再去日本判一下吧。发生,0
3,0.996775152971044,正向,为正义青天法官点赞，为充满人情味的判词点赞！！！,0
4,0.310416093691173,负向,这判决是被舆论左右了吗,1
5,0.0020913990781803,负向,被先发舆论带歪的一大片热评，不知道该说善良的人太多还是愚昧的人太多，多希望大家多去考证多去了解，而不是只看一方的言论,1
6,0.980151985315634,正向,总会有的人让刘鑫付出代价,0
7,0.0025981011443207,负向,江妈会起诉日本警察的要求赔偿的，你急什么？//@ubvfdx:日本警方在未来确定之前都要求不要开门，那日本警方是否也有责任？,1
8,0.9134343429094042,正向,这件事情上，有人挣的盆满钵满，有人却在苟延残喘！五年多了，希望还证人刘鑫、凶杀案受害人刘鑫一个公道！（正常来说，刘鑫的名字都不该出现在公众视野，刘某！）,0
9,0.745223526345284,正向,希望二审纠正错误，不要用道德来当判决依据，最起码也得拿到日本的卷宗，按照事实来判。,0
10,0.9386694771799368,正向,法律之耻,0
11,0.0020630247840087,负向,江秋莲谎话连篇栽赃刘鑫、吃女儿人血馒头五年,1
12,0.9175748499882392,正向,法官不为民作主还不如回家卖红薯,0
13,0.8529328719468295,正向,不应该抓起刘鑫来吗？日本法院真蠢，她还是证人哪。法官也真蠢，还判陈20年，该判刘20年。,0
14,0.0015080245561135,负向,对不起冤枉你们了，律师太差劲不能怪法院，一点证据都不准备，输官司不奇怪,1
15,0.0067623218210017,负向,唯愿公平如大水滚滚，使公义如江河滔滔,1
16,0.2665149518990048,负向,一个证人，遭受在受害者家属煽动下长达五六年的网络暴力，谁来维护她的合法权益？,1
17,0.1771969519524602,负向,希望二审可以如实核对证据，不要被舆论绑架！,1
19,0.626712328767123,正向,支持,0
20,0.0133311498122786,负向,你们法院这么胡乱判，丢不丢脸。,1
21,0.004734061593668,负向,江秋莲在网上已经到了呼风唤雨，只手遮天的地步了。能把黑的说成白的，把死的说成活的。她能把证人网暴六年，连无辜的人都要受到牵连。法院啊，你们不仅不作为，还要助纣为虐，令人寒心。,1
22,0.8752852488520955,正向,给你们点赞👍,0
