,情感分析结果,评价倾向,正文内容,标签
0,0.939257605261337,正向,@JUWENTONG 我现在才看到，罪有应得[泪],0
1,0.6035481157224664,正向,太轻了,0
2,0.9604869462826632,正向,大快人心！,0
3,0.9178743961352656,正向,[赞],0
5,0.0980276757469925,负向,不是不报，时候未到。[doge],1
6,0.0622609261764224,负向,不死邢说不过去,1
8,0.3716516246167168,负向,[打call][打call][打call][打call][打call][打call]该,1
9,0.3471965533907485,负向,还以为是死刑或者无期呢，死了也不亏。,1
10,0.9230769230769228,正向,[泪],0
11,0.9178743961352656,正向,[赞],0
12,0.9178743961352656,正向,[赞],0
13,0.9931242249411446,正向,哈哈哈哈，大快人心[哇],0
15,0.7434816351104637,正向,活该，牢底坐穿,0
16,0.2162516482817903,负向,以后做事前 多想想家里人 害你自己不打紧  别拖累你的父母妻子儿女  因为你一生都抬不起头 走到哪都被笑话 被唾沫星子淹死,1
17,0.8238196994461298,正向,正义可能会迟到  但绝不会缺席！！报应终于到了！,0
18,0.3452787547128308,负向,死罪也不为多呀,1
19,0.9529710292837048,正向,@初一afO6,0
20,0.9230769230769228,正向,[泪],0
22,0.6666666666666666,正向,我以为死刑,0
23,0.9178743961352656,正向,[赞],0
24,0.9178743961352656,正向,[赞],0
25,0.9105189566036128,正向,罪有应得！千万别减刑。,0
26,0.8672585180919758,正向,这根本不够，应该死刑立即执行[微笑],0
27,0.8174366780874545,正向,首恶不除倒下一个陈继志还会有下一个陈继志的。,0
28,0.6438907129142762,正向,转发微博,0
29,0.9604869462826632,正向,大快人心！,0
30,0.8133710960706207,正向,打黑一定要继续督办，特别是拆迁地区很多勾结一起和地痞违规欺压百姓！,0
31,0.7702568211690405,正向,怀念严打的年代。,0
32,0.1221242838813108,负向,就只是24年？不是死刑或者阉割？？？？？？？？？？？,1
33,0.9649324417662803,正向,地头蛇一样……这么猖狂，犯这么多罪还逍遥这么久,0
34,0.2909698707035755,负向,穿着大白服的是谁？  谁能分辨,1
35,0.9230769230769228,正向,[泪],0
36,0.3572070218565016,负向,四个女孩咋样？,1
37,0.2929843379015537,负向,其他的几个打人的，到底判了几年，还是几个月？怎么每说详细。,1
38,0.7436417272978255,正向,活该 就得这么做,0
39,0.9994565751004776,正向,真的是轻伤二级吗？当年我妈在公司做会计，公司被黑社会找事，被打了，重伤二级，我看视频打得这么重只有轻伤？,0
40,0.9486185757572664,正向,危害社会，必须严惩[太开心],0
41,0.9989340704096538,正向,希望受害女生不会再受伤害了🙏🙏🙏从此可以健康幸福的生活🙏🙏🙏🙏🙏,0
42,0.8727725111259932,正向,犯了这么多条，判得轻了,0
43,0.3186167882459865,负向,这些人连个照片都没有 看看抓大老虎的新闻都是大特写 这是要保护他们吗,1
44,0.9999999995829298,正向,@我的女友可爱多一3一 @胡璧洲 @-chillnx 这个人的评论引流传播发布色情图片@微博管理员 @平安北京朝阳 @首都网警 @深圳网警  发布色情内容的id我都一一截图了 整理好就一网打尽 @央视新闻 @扫黄打非 @紫光阁  @人民日报  @共青团中央 @新华社 @中国新闻网@头条新闻,0
45,0.93128100637516,正向,对了，要是打人了，一下子过失杀死。咋办了？,0
47,0.2145032097599141,负向,我相信他们不会改好。所以希望他们在牢里也不安生，然后这辈子就不用出来了，这个社会不需要他们。,1
48,0.8670770126136653,正向,坐满，别缓[微笑],0
49,0.9938898026863584,正向,这世上的事情就该这样 坏人有坏报 好人有好报 [哆啦A梦微笑],0
51,0.9999998753277086,正向,@Lycheee7 这个人的评论引流人进群传播发布色情图片@微博管理员 @平安北京朝阳 @首都网警 @深圳网警  发布色情内容的id我都一一截图了 整理好就一网打尽 @央视新闻 @扫黄打非 @紫光阁  @人民日报  @共青团中央 @新华社 @中国新闻网@头条新闻,0
52,0.7439010389329881,正向,为什么判的这么轻,0
53,0.736068329201049,正向,罪有应得,0
54,0.8141288095471446,正向,24年 实际也就坐18-20年 轻了,0
55,0.9991340264275252,正向,里面的大佬啊 如果你能看得见  麻烦在里面多照顾照顾他们[awsl][awsl],0
56,0.6796557346415611,正向,判42年都少了,0
57,0.9977209028536876,正向,除了管媒的权威，怀疑所有真实性，包括罪犯是否本人，真实的为什么不敢直播或者发布音视频真相呢？到底在顾虑什么？正义就那么怕邪恶吗？,0
59,0.1811521661176718,负向,干这么多事都没人抓，保护伞真厉害,1
60,0.9999999998379544,正向,@Attent1on_ @昵称包含敏感字符 @青年运土@淦蠡魉 @哄冻尼戴斯噶噶 这个人的评论引流传播发布色情图文 @微博管理员 @平安北京朝阳 @首都网警 @深圳网警  发布色情内容的id我都一一截图了 整理好就一网打尽 @央视新闻 @扫黄打非 @紫光阁  @人民日报   @共青团中央 @新华社 @中国新闻网@头条新闻,0
61,0.5925107479918047,正向,不放过一个，千万别减刑,0
62,0.99999995718079,正向,@Attent1on_ 这个人的评论引流传播发布色情图文 @微博管理员 @平安北京朝阳 @首都网警 @深圳网警  发布色情内容的id我都一一截图了 整理好就一网打尽 @央视新闻 @扫黄打非 @紫光阁  @人民日报  @共青团中央 @新华社 @中国新闻网@头条新闻,0
63,0.7367237233395802,正向,判的真少,0
64,0.9178743961352656,正向,[赞],0
65,0.9178743961352656,正向,[赞],0
66,0.9230769230769228,正向,[泪],0
67,0.736068329201049,正向,罪有应得,0
68,0.0015837625278745,负向,说好了是24年，差一年，差一个月，差一个时辰，都不是24年！,1
69,0.9896139434040242,正向,活该//@HYH吴情:大快人心！！！,0
70,0.6184777508821596,正向,为什么不判死刑呢配活着？,0
71,0.8528627182470886,正向,死不足惜,0
72,0.8188363673789358,正向,判的好，判的妙,0
73,0.363076423759728,负向,才二十四年啊,1
74,0.8736261840583663,正向,坏人终于得到了审判,0
75,0.6105798377125174,正向,基本上顶格判了，判的好就在里面呆着吧别出来嚯嚯人了,0
77,0.671717171717172,正向,活该,0
78,0.2032542639836362,负向,居然是有期徒刑？,1
79,0.9995959342683592,正向,陈壮士武功高强，相信凭他多年的打斗经验可以在牢房继续打出一片天地取得牢霸地位，24年后又是一条老汉。,0
81,0.6119938787917948,正向,还会再逃出来吗,0
82,0.1056779475480707,负向,大家都要监督，不能减刑,1
83,0.8565739898211603,正向,终于！有了正义！,0
84,0.9604869462826632,正向,大快人心,0
88,0.0934403909596055,负向,为什么要遮住脸有没有一种可能花钱让别人坐牢,1
90,0.9999999999511012,正向,@逝如秋枫 这个人的评论引流传播发布色情图文 @微博管理员 @平安北京朝阳 @首都网警 @深圳网警   发布色情内容的id我都一一截图了 整理好就一网打尽 @央视新闻 @扫黄打非 @紫光阁  @人民日报  @共青团中央 @新华社 @中国新闻网@头条新闻,0
91,0.9999999959773364,正向,@安县小农民 这个人的评论引流传播发布色情图文 @微博管理员 @平安北京朝阳 @首都网警 @深圳网警  发布色情内容的id我都一一截图了 整理好就一网打尽 @央视新闻 @扫黄打非 @紫光阁  @人民日报  @共青团中央 @新华社 @中国新闻网@头条新闻,0
94,0.0331269287849553,负向,数罪并罚才24年吗？？？,1
95,0.1864055604904856,负向,千万最后别减刑，这种人没资格。,1
97,0.1837233963534416,负向,保护伞们的名单呢？,1
98,0.9999988621174258,正向,河北把最好的第一名交给了山东，但是山东却没有照顾好他，于是河北下了一场雪接回了他[流泪],0
99,0.7648725212464591,正向,[心],0
100,0.9721678787424995,正向,犯罪的法律来治，受害的怎么弥补？！24少了,0
101,0.6095653678334468,正向,帮帮高y吧,0
103,0.1830252787145307,负向,别减刑，严厉打击黑恶势力,1
105,0.993485827667635,正向,#快让人帮帮我，有人要非礼我#在1-3年当你家女孩在回家路上或在校或求职面试遭遇危机发出0D手丹呼叫时，即可收到对讲回复#对不起，你的呼叫不能响应，因为你的父母+爷奶没有为你挣够相应五行德行积分#！这不是天方夜谭和神话故事，这是#手机秒变手丹#来今古态逼人父人爷面对的活仁成仁之仁境仁福仁财！,0
106,0.0226623178484255,负向,不予减刑[挖鼻][挖鼻][挖鼻],1
107,0.8741136013673173,正向,活该活该活该,0
108,0.671717171717172,正向,活该,0
109,0.736068329201049,正向,罪有应得！,0
111,0.6035481157224664,正向,太轻了,0
112,0.0744814520001178,负向,罪名好多，量刑重，这次是新账旧账一起算了。是不是有些过重了？,1
113,0.6138693603131731,正向,十年了，终于受到制裁了,0
114,0.7431193079377486,正向,牢底坐穿，绝不减刑,0
115,0.736068329201049,正向,罪有应得,0
116,0.871489125925854,正向,罪有应得，别减刑,0
117,0.6972146045609259,正向,@泡芙鹅鹅,0
118,0.9012042201716663,正向,真漂亮,0
119,0.9937286566321444,正向,寻衅滋事罪、抢劫罪、聚众斗殴罪、开设赌场罪、非法拘禁罪、故意伤害罪、掩饰、隐瞒犯罪所得罪、帮助信息网络犯罪活动罪，数罪并罚,0
120,0.2843534628807224,负向,漂亮[good]如果没有舆论 被害人该要去哪里伸冤！,1
121,0.6788641044001418,正向,三个女孩怎么样了？,0
122,0.8999999999999999,正向,[话筒],0
123,0.989949021680937,正向,千万别减刑，慢慢反省[微笑],0
124,0.0740679803376714,负向,千万不要减刑🙏顺便看看他们有没有报复倾向，别等出来以后自己不如意就想拉别人垫背,1
125,0.8418164930686991,正向,正义执行！,0
127,0.671717171717172,正向,活该,0
128,0.9997061421464152,正向,不错不错，快坐牢[骷髅][骷髅],0
129,0.0101755434035915,负向,被告是否上诉[怒]限制减刑不,1
130,0.9999299506441088,正向,[中国赞][中国赞][中国赞],0
131,0.6910936313443703,正向,如果那些女孩没有抡起瓶子反抗而是去敬了酒，会不会这些人这些事还淹没于黑夜之中[微笑],0
133,0.3866609766135085,负向,严惩施暴者,1
134,0.956283099089436,正向,有些话不知当讲不当讲[允悲],0
135,0.6014846937301315,正向,希望不要减刑 不要放出来了 死牢里吧,0
136,0.011035770228575,负向,已经和致死的性质差不多了，难道就没办法让他们都死刑嘛,1
137,0.9999998926324352,正向,@Old_GuooooO 这个人的评论引流传播发布色情图片@微博管理员 @平安北京朝阳 @首都网警 @深圳网警  发布色情内容的id我都一一截图了 整理好就一网打尽 @央视新闻 @扫黄打非 @紫光阁  @人民日报  @共青团中央 @新华社 @中国新闻网@头条新闻,0
139,0.996354802306245,正向,看到他犯得那些罪我自动在脑子里回忆法条但是发现忘光了，好痛苦，陈继志你坏事做尽😡😡😡,0
140,0.736068329201049,正向,罪有应得！,0
141,0.7873926207166679,正向,那四个女孩现在怎么样了?,0
142,0.7301927497592603,正向,还有6个月的[拜拜],0
143,0.2550195694818623,负向,正道的光！！！,1
144,0.671717171717172,正向,活该,0
147,0.9959699209437624,正向,惩恶扬善，就应该重判以儆效尤[赞][赞],0
148,0.9999999999824316,正向,清华大学彭林教授#痛惜中国人陷入群体性迷失#=5G白痴霾夫怨妇！ 人类态始仁尊丹言#手机秒变手丹态逼活仁成仁#=0D品者品夫德妇！ 虎年国庆劫前，#五六十岁同龄者先行300元起道义援手#让客陷家乡六年目前陷入3千元活命困境的人类态始仁尊摆脱眼前困境者，三年感谢1-3万元，#你将位列人世生灵仁尊墙架#！,0
149,0.6912513001686916,正向,24年，好好蹬缝纫机吧[微笑],0
150,0.2536777004849738,负向,凡凡判了多久,1
151,0.1464307170439477,负向,别减刑，现在40岁，出来60岁了，叫他狂,1
152,0.9756886467303036,正向,希望彻查临夏回族自治州所有领导，疫情快要把整个县城的人都阳性了，不上报，不治疗，临夏人民请求彻查[泪][泪],0
153,0.6558628208940429,正向,好,0
155,0.9995030642976804,正向,正义会迟到但不会缺席终于等到结果了[泪][泪],0
156,0.7997099790914175,正向,但愿能关的住他们，不然出来又是社会的一大危害,0
158,0.671717171717172,正向,活该！,0
160,0.8020859269935734,正向,@青藤如故,0
161,0.8996655518394647,正向,漂亮,0
162,0.736068329201049,正向,罪有应得,0
163,0.271534247356797,负向,造谣被害人死了的呢？,1
164,0.736068329201049,正向,罪有应得,0
165,0.712750807947382,正向,这种人不配出来了//@Blue_芝麻麻:可以不让他减刑吗[开学季]就让他坐满24年牢，然后出来跟社会脱轨，背负一辈子的案底抬不起头，在社会尘埃里呆一辈子,0
167,0.6763900783360124,正向,想知道受害者目前的状况,0
168,0.736068329201049,正向,罪有应得,0
170,0.8020859269935734,正向,@年年有Yuuv,0
173,0.9613317766218082,正向,在整个审判过程中我并没有看到陈继志呀！,0
174,0.8901750077275126,正向,应该死刑或者终身监禁,0
175,0.6653093296964917,正向,保护伞好像处理的都比较轻啊！只是处分吗？,0
176,0.6741429830661562,正向,没有人觉得24年少了吗 犯了那么多罪 还有非法拘禁 这么多罪 只24年 不应该直接死刑吗 仅个人观点,0
177,0.7266884823973554,正向,希望他在牢里犯事儿一辈子都出不来[太开心],0
178,0.3391545955701847,负向,妈的。才二十四年,1
180,0.6299996153468053,正向,多行不义必自毙,0
181,0.6438907129142762,正向,转发微博,0
182,0.1498147689928144,负向,弱弱问一句：坐牢伙食费是家人付、还是国家承担？,1
183,0.2137937040714219,负向,才24年啊，不亏,1
184,0.9993566933790506,正向,回复@捣年糕的玉兔 的表态:现实生活中很多事情都是无奈的,0
185,0.671717171717172,正向,活该,0
187,0.2348203380566154,负向,才这么几年吗？现在犯这么多恶劣的罪就这惩罚啊[可怜],1
188,0.7579492526043954,正向,希望后面不要减刑,0
189,0.736068329201049,正向,罪有应得,0
190,0.055369964090878,负向,出来也该上电子锁叭，搬哪儿都得社区通告[憧憬][憧憬],1
192,0.9413383083848268,正向,@废萝卜不坐江山,0
193,0.0964313712207717,负向,应该全国严查保护伞,1
194,0.671717171717172,正向,活该!,0
196,0.6114020527065668,正向,必须牢底坐穿！,0
197,0.7642709336536191,正向,不许减刑！,0
198,0.9999999723042666,正向,@收望 这个人的评论引流人进群传播发布色情图片 @微博管理员 @平安北京朝阳 @首都网警 @深圳网警  发布色情内容的id我都一一截图了 整理好就一网打尽 @央视新闻 @扫黄打非 @紫光阁  @人民日报  @共青团中央 @新华社 @中国新闻网@头条新闻,0
199,0.7483050847457626,正向,该[爱你],0
200,0.9604869462826632,正向,大快人心,0
201,0.7478713963504684,正向,别减刑就行,0
202,0.9933497907220185,正向,终于[泪][泪],0
204,0.9604869462826632,正向,大快人心！,0
208,0.0900547506325362,负向,轻微伤？？？,1
209,0.2577607742596776,负向,24年！！！芭比Q了！,1
210,0.7608695652173911,正向,[微笑],0
211,0.3385187948160103,负向,该来的终于来了！！,1
212,0.6755407653910152,正向,呵呵,0
214,0.671717171717172,正向,活该,0
215,0.8158445077047536,正向,这种人在监狱里“表现好”的话………也会减刑吗？出来后不会报复？,0
216,0.981766388480668,正向,罪有应得，正义可能会迟到，但绝不会缺席,0
217,0.305790860153225,负向,其余几个打人的能不能写清楚到底几年 而不是一笔带过,1
220,0.9604869462826632,正向,大快人心！,0
221,0.999998288223359,正向,现在开始祈祷，不要减刑[嘻嘻][嘻嘻][嘻嘻][嘻嘻],0
